WWGI/BEL_GE_NO_SRC,Government Effectiveness; Number of Sources - Belgium
WWGI/BEL_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Belgium
WWGI/BEL_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Belgium
WWGI/BEL_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Belgium
WWGI/BEL_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Belgium
WWGI/BEL_RQ_EST,Regulatory Quality; Estimate - Belgium
WWGI/BEL_RQ_NO_SRC,Regulatory Quality; Number of Sources - Belgium
WWGI/BEL_RQ_STD_ERR,Regulatory Quality; Standard Error - Belgium
WWGI/BEL_RL_EST,Rule of Law; Estimate - Belgium
WWGI/BEL_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Belgium
WWGI/BEL_RL_PER_RNK,Rule of Law; Percentile Rank - Belgium
WWGI/BEL_RL_NO_SRC,Rule of Law; Number of Sources - Belgium
WWGI/BEL_RL_STD_ERR,Rule of Law; Standard Error - Belgium
WWGI/BEL_VA_EST,Voice and Accountability; Estimate - Belgium
WWGI/BEL_VA_NO_SRC,Voice and Accountability; Number of Sources - Belgium
WWGI/BEL_VA_PER_RNK,Voice and Accountability; Percentile Rank - Belgium
WWGI/BEL_VA_STD_ERR,Voice and Accountability; Standard Error - Belgium
WWGI/BEN_CC_PER_RNK,Control of Corruption; Percentile Rank - Benin
WWGI/BEN_CC_EST,Control of Corruption; Estimate - Benin
WWGI/BEN_CC_NO_SRC,Control of Corruption; Number of Sources - Benin
WWGI/BEN_CC_STD_ERR,Control of Corruption; Standard Error - Benin
WWGI/BEN_GE_EST,Government Effectiveness; Estimate - Benin
WWGI/BEN_GE_NO_SRC,Government Effectiveness; Number of Sources - Benin
WWGI/BEN_GE_PER_RNK,Government Effectiveness; Percentile Rank - Benin
WWGI/BEN_GE_STD_ERR,Government Effectiveness; Standard Error - Benin
WWGI/BEN_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Benin
WWGI/BEN_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Benin
WWGI/BEN_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Benin
WWGI/BEN_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Benin
WWGI/BEN_RQ_EST,Regulatory Quality; Estimate - Benin
WWGI/BEN_RQ_NO_SRC,Regulatory Quality; Number of Sources - Benin
WWGI/BEN_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Benin
WWGI/BEN_RQ_STD_ERR,Regulatory Quality; Standard Error - Benin
WWGI/BEN_RL_NO_SRC,Rule of Law; Number of Sources - Benin
WWGI/BEN_RL_PER_RNK,Rule of Law; Percentile Rank - Benin
WWGI/BEN_VA_EST,Voice and Accountability; Estimate - Benin
WWGI/BEN_RL_EST,Rule of Law; Estimate - Benin
WWGI/BEN_VA_NO_SRC,Voice and Accountability; Number of Sources - Benin
WWGI/BEN_VA_STD_ERR,Voice and Accountability; Standard Error - Benin
WWGI/BEN_RL_STD_ERR,Rule of Law; Standard Error - Benin
WWGI/BEN_VA_PER_RNK,Voice and Accountability; Percentile Rank - Benin
WWGI/BFA_CC_PER_RNK,Control of Corruption; Percentile Rank - Burkina Faso
WWGI/BFA_CC_NO_SRC,Control of Corruption; Number of Sources - Burkina Faso
WWGI/BFA_CC_STD_ERR,Control of Corruption; Standard Error - Burkina Faso
WWGI/BFA_GE_EST,Government Effectiveness; Estimate - Burkina Faso
WWGI/BFA_GE_NO_SRC,Government Effectiveness; Number of Sources - Burkina Faso
WWGI/BFA_CC_EST,Control of Corruption; Estimate - Burkina Faso
WWGI/BFA_GE_PER_RNK,Government Effectiveness; Percentile Rank - Burkina Faso
WWGI/BFA_GE_STD_ERR,Government Effectiveness; Standard Error - Burkina Faso
WWGI/BFA_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Burkina Faso
WWGI/BFA_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Burkina Faso
WWGI/BFA_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Burkina Faso
WWGI/BFA_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Burkina Faso
WWGI/BFA_RQ_EST,Regulatory Quality; Estimate - Burkina Faso
WWGI/BFA_RQ_NO_SRC,Regulatory Quality; Number of Sources - Burkina Faso
WWGI/BFA_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Burkina Faso
WWGI/BFA_RL_EST,Rule of Law; Estimate - Burkina Faso
WWGI/BFA_RQ_STD_ERR,Regulatory Quality; Standard Error - Burkina Faso
WWGI/BFA_RL_PER_RNK,Rule of Law; Percentile Rank - Burkina Faso
WWGI/BFA_RL_NO_SRC,Rule of Law; Number of Sources - Burkina Faso
WWGI/BFA_RL_STD_ERR,Rule of Law; Standard Error - Burkina Faso
WWGI/BFA_VA_EST,Voice and Accountability; Estimate - Burkina Faso
WWGI/BFA_VA_NO_SRC,Voice and Accountability; Number of Sources - Burkina Faso
WWGI/BFA_VA_PER_RNK,Voice and Accountability; Percentile Rank - Burkina Faso
WWGI/BGD_CC_EST,Control of Corruption; Estimate - Bangladesh
WWGI/BGD_CC_NO_SRC,Control of Corruption; Number of Sources - Bangladesh
WWGI/BGD_CC_STD_ERR,Control of Corruption; Standard Error - Bangladesh
WWGI/BGD_CC_PER_RNK,Control of Corruption; Percentile Rank - Bangladesh
WWGI/BGD_GE_EST,Government Effectiveness; Estimate - Bangladesh
WWGI/BFA_VA_STD_ERR,Voice and Accountability; Standard Error - Burkina Faso
WWGI/BGD_GE_NO_SRC,Government Effectiveness; Number of Sources - Bangladesh
WWGI/BGD_GE_STD_ERR,Government Effectiveness; Standard Error - Bangladesh
WWGI/BGD_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Bangladesh
WWGI/BGD_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Bangladesh
WWGI/BGD_GE_PER_RNK,Government Effectiveness; Percentile Rank - Bangladesh
WWGI/BGD_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Bangladesh
WWGI/BGD_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Bangladesh
WWGI/BGD_RQ_EST,Regulatory Quality; Estimate - Bangladesh
WWGI/BGD_RQ_NO_SRC,Regulatory Quality; Number of Sources - Bangladesh
WWGI/BGD_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Bangladesh
WWGI/BGD_RQ_STD_ERR,Regulatory Quality; Standard Error - Bangladesh
WWGI/BGD_RL_EST,Rule of Law; Estimate - Bangladesh
WWGI/BGD_RL_NO_SRC,Rule of Law; Number of Sources - Bangladesh
WWGI/BGD_RL_PER_RNK,Rule of Law; Percentile Rank - Bangladesh
WWGI/BGD_RL_STD_ERR,Rule of Law; Standard Error - Bangladesh
WWGI/BGD_VA_NO_SRC,Voice and Accountability; Number of Sources - Bangladesh
WWGI/BGD_VA_EST,Voice and Accountability; Estimate - Bangladesh
WWGI/BGD_VA_PER_RNK,Voice and Accountability; Percentile Rank - Bangladesh
WWGI/BGD_VA_STD_ERR,Voice and Accountability; Standard Error - Bangladesh
WWGI/BGR_CC_EST,Control of Corruption; Estimate - Bulgaria
WWGI/BGR_CC_NO_SRC,Control of Corruption; Number of Sources - Bulgaria
WWGI/BGR_CC_PER_RNK,Control of Corruption; Percentile Rank - Bulgaria
WWGI/BGR_CC_STD_ERR,Control of Corruption; Standard Error - Bulgaria
WWGI/BGR_GE_EST,Government Effectiveness; Estimate - Bulgaria
WWGI/BGR_GE_NO_SRC,Government Effectiveness; Number of Sources - Bulgaria
WWGI/BGR_GE_PER_RNK,Government Effectiveness; Percentile Rank - Bulgaria
WWGI/BGR_GE_STD_ERR,Government Effectiveness; Standard Error - Bulgaria
WWGI/BGR_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Bulgaria
WWGI/BGR_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Bulgaria
WWGI/BGR_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Bulgaria
WWGI/BGR_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Bulgaria
WWGI/BGR_RQ_EST,Regulatory Quality; Estimate - Bulgaria
WWGI/BGR_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Bulgaria
WWGI/BGR_RQ_NO_SRC,Regulatory Quality; Number of Sources - Bulgaria
WWGI/BGR_RL_EST,Rule of Law; Estimate - Bulgaria
WWGI/BGR_RQ_STD_ERR,Regulatory Quality; Standard Error - Bulgaria
WWGI/BGR_RL_NO_SRC,Rule of Law; Number of Sources - Bulgaria
WWGI/BGR_VA_EST,Voice and Accountability; Estimate - Bulgaria
WWGI/BGR_RL_PER_RNK,Rule of Law; Percentile Rank - Bulgaria
WWGI/BGR_VA_NO_SRC,Voice and Accountability; Number of Sources - Bulgaria
WWGI/BGR_RL_STD_ERR,Rule of Law; Standard Error - Bulgaria
WWGI/BGR_VA_PER_RNK,Voice and Accountability; Percentile Rank - Bulgaria
WWGI/BGR_VA_STD_ERR,Voice and Accountability; Standard Error - Bulgaria
WWGI/BHR_CC_EST,Control of Corruption; Estimate - Bahrain
WWGI/BHR_CC_NO_SRC,Control of Corruption; Number of Sources - Bahrain
WWGI/BHR_CC_PER_RNK,Control of Corruption; Percentile Rank - Bahrain
WWGI/BHR_CC_STD_ERR,Control of Corruption; Standard Error - Bahrain
WWGI/BHR_GE_NO_SRC,Government Effectiveness; Number of Sources - Bahrain
WWGI/BHR_GE_EST,Government Effectiveness; Estimate - Bahrain
WWGI/BHR_GE_PER_RNK,Government Effectiveness; Percentile Rank - Bahrain
WWGI/BHR_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Bahrain
WWGI/BHR_GE_STD_ERR,Government Effectiveness; Standard Error - Bahrain
WWGI/BHR_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Bahrain
WWGI/BHR_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Bahrain
WWGI/BHR_RQ_EST,Regulatory Quality; Estimate - Bahrain
WWGI/BHR_RQ_NO_SRC,Regulatory Quality; Number of Sources - Bahrain
WWGI/BHR_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Bahrain
WWGI/BHR_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Bahrain
WWGI/BHR_RQ_STD_ERR,Regulatory Quality; Standard Error - Bahrain
WWGI/BHR_RL_EST,Rule of Law; Estimate - Bahrain
WWGI/BHR_RL_NO_SRC,Rule of Law; Number of Sources - Bahrain
WWGI/BHR_RL_PER_RNK,Rule of Law; Percentile Rank - Bahrain
WWGI/BHR_RL_STD_ERR,Rule of Law; Standard Error - Bahrain
WWGI/BHR_VA_EST,Voice and Accountability; Estimate - Bahrain
WWGI/BHR_VA_NO_SRC,Voice and Accountability; Number of Sources - Bahrain
WWGI/BHR_VA_PER_RNK,Voice and Accountability; Percentile Rank - Bahrain
WWGI/BHR_VA_STD_ERR,Voice and Accountability; Standard Error - Bahrain
WWGI/BHS_CC_NO_SRC,"Control of Corruption; Number of Sources - Bahamas, The"
WWGI/BHS_CC_EST,"Control of Corruption; Estimate - Bahamas, The"
WWGI/BHS_CC_PER_RNK,"Control of Corruption; Percentile Rank - Bahamas, The"
WWGI/BHS_CC_STD_ERR,"Control of Corruption; Standard Error - Bahamas, The"
WWGI/BHS_GE_NO_SRC,"Government Effectiveness; Number of Sources - Bahamas, The"
WWGI/BHS_GE_EST,"Government Effectiveness; Estimate - Bahamas, The"
WWGI/BHS_GE_PER_RNK,"Government Effectiveness; Percentile Rank - Bahamas, The"
WWGI/BHS_GE_STD_ERR,"Government Effectiveness; Standard Error - Bahamas, The"
WWGI/BHS_PV_EST,"Political Stability and Absence of Violence/Terrorism; Estimate - Bahamas, The"
WWGI/BHS_PV_NO_SRC,"Political Stability and Absence of Violence/Terrorism; Number of Sources - Bahamas, The"
WWGI/BHS_PV_PER_RNK,"Political Stability and Absence of Violence/Terrorism; Percentile Rank - Bahamas, The"
WWGI/BHS_PV_STD_ERR,"Political Stability and Absence of Violence/Terrorism; Standard Error - Bahamas, The"
WWGI/BHS_RQ_EST,"Regulatory Quality; Estimate - Bahamas, The"
WWGI/BHS_RQ_STD_ERR,"Regulatory Quality; Standard Error - Bahamas, The"
WWGI/BHS_RQ_NO_SRC,"Regulatory Quality; Number of Sources - Bahamas, The"
WWGI/BHS_RQ_PER_RNK,"Regulatory Quality; Percentile Rank - Bahamas, The"
WWGI/BHS_RL_EST,"Rule of Law; Estimate - Bahamas, The"
WWGI/BHS_RL_NO_SRC,"Rule of Law; Number of Sources - Bahamas, The"
WWGI/BHS_VA_EST,"Voice and Accountability; Estimate - Bahamas, The"
WWGI/BHS_RL_PER_RNK,"Rule of Law; Percentile Rank - Bahamas, The"
WWGI/BHS_RL_STD_ERR,"Rule of Law; Standard Error - Bahamas, The"
WWGI/BHS_VA_NO_SRC,"Voice and Accountability; Number of Sources - Bahamas, The"
WWGI/BHS_VA_PER_RNK,"Voice and Accountability; Percentile Rank - Bahamas, The"
WWGI/BHS_VA_STD_ERR,"Voice and Accountability; Standard Error - Bahamas, The"
WWGI/BIH_CC_NO_SRC,Control of Corruption; Number of Sources - Bosnia and Herzegovina
WWGI/BIH_CC_EST,Control of Corruption; Estimate - Bosnia and Herzegovina
WWGI/BIH_CC_PER_RNK,Control of Corruption; Percentile Rank - Bosnia and Herzegovina
WWGI/BIH_GE_NO_SRC,Government Effectiveness; Number of Sources - Bosnia and Herzegovina
WWGI/BIH_CC_STD_ERR,Control of Corruption; Standard Error - Bosnia and Herzegovina
WWGI/BIH_GE_EST,Government Effectiveness; Estimate - Bosnia and Herzegovina
WWGI/BIH_GE_PER_RNK,Government Effectiveness; Percentile Rank - Bosnia and Herzegovina
WWGI/BIH_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Bosnia and Herzegovina
WWGI/BIH_GE_STD_ERR,Government Effectiveness; Standard Error - Bosnia and Herzegovina
WWGI/BIH_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Bosnia and Herzegovina
WWGI/BIH_RQ_EST,Regulatory Quality; Estimate - Bosnia and Herzegovina
WWGI/BIH_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Bosnia and Herzegovina
WWGI/BIH_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Bosnia and Herzegovina
WWGI/BIH_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Bosnia and Herzegovina
WWGI/BIH_RQ_NO_SRC,Regulatory Quality; Number of Sources - Bosnia and Herzegovina
WWGI/BIH_RQ_STD_ERR,Regulatory Quality; Standard Error - Bosnia and Herzegovina
WWGI/BIH_RL_EST,Rule of Law; Estimate - Bosnia and Herzegovina
WWGI/BIH_RL_PER_RNK,Rule of Law; Percentile Rank - Bosnia and Herzegovina
WWGI/BIH_RL_NO_SRC,Rule of Law; Number of Sources - Bosnia and Herzegovina
WWGI/BIH_RL_STD_ERR,Rule of Law; Standard Error - Bosnia and Herzegovina
WWGI/BIH_VA_EST,Voice and Accountability; Estimate - Bosnia and Herzegovina
WWGI/BIH_VA_NO_SRC,Voice and Accountability; Number of Sources - Bosnia and Herzegovina
WWGI/BIH_VA_PER_RNK,Voice and Accountability; Percentile Rank - Bosnia and Herzegovina
WWGI/BIH_VA_STD_ERR,Voice and Accountability; Standard Error - Bosnia and Herzegovina
WWGI/BLR_CC_EST,Control of Corruption; Estimate - Belarus
WWGI/BLR_CC_PER_RNK,Control of Corruption; Percentile Rank - Belarus
WWGI/BLR_CC_STD_ERR,Control of Corruption; Standard Error - Belarus
WWGI/BLR_CC_NO_SRC,Control of Corruption; Number of Sources - Belarus
WWGI/BLR_GE_EST,Government Effectiveness; Estimate - Belarus
WWGI/BLR_GE_NO_SRC,Government Effectiveness; Number of Sources - Belarus
WWGI/BLR_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Belarus
WWGI/BLR_GE_PER_RNK,Government Effectiveness; Percentile Rank - Belarus
WWGI/BLR_GE_STD_ERR,Government Effectiveness; Standard Error - Belarus
WWGI/BLR_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Belarus
WWGI/BLR_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Belarus
WWGI/BLR_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Belarus
WWGI/BLR_RQ_EST,Regulatory Quality; Estimate - Belarus
WWGI/BLR_RQ_NO_SRC,Regulatory Quality; Number of Sources - Belarus
WWGI/BLR_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Belarus
WWGI/BLR_RL_EST,Rule of Law; Estimate - Belarus
WWGI/BLR_RL_NO_SRC,Rule of Law; Number of Sources - Belarus
WWGI/BLR_RL_STD_ERR,Rule of Law; Standard Error - Belarus
WWGI/BLR_VA_EST,Voice and Accountability; Estimate - Belarus
WWGI/BLR_RL_PER_RNK,Rule of Law; Percentile Rank - Belarus
WWGI/BLR_VA_PER_RNK,Voice and Accountability; Percentile Rank - Belarus
WWGI/BLR_VA_STD_ERR,Voice and Accountability; Standard Error - Belarus
WWGI/BLZ_CC_EST,Control of Corruption; Estimate - Belize
WWGI/BLR_VA_NO_SRC,Voice and Accountability; Number of Sources - Belarus
WWGI/BLZ_CC_NO_SRC,Control of Corruption; Number of Sources - Belize
WWGI/BLZ_CC_PER_RNK,Control of Corruption; Percentile Rank - Belize
WWGI/BLR_RQ_STD_ERR,Regulatory Quality; Standard Error - Belarus
WWGI/BLZ_CC_STD_ERR,Control of Corruption; Standard Error - Belize
WWGI/BLZ_GE_EST,Government Effectiveness; Estimate - Belize
WWGI/BLZ_GE_NO_SRC,Government Effectiveness; Number of Sources - Belize
WWGI/BLZ_GE_STD_ERR,Government Effectiveness; Standard Error - Belize
WWGI/BLZ_GE_PER_RNK,Government Effectiveness; Percentile Rank - Belize
WWGI/BLZ_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Belize
WWGI/BLZ_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Belize
WWGI/BLZ_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Belize
WWGI/BLZ_RQ_EST,Regulatory Quality; Estimate - Belize
WWGI/BLZ_RQ_NO_SRC,Regulatory Quality; Number of Sources - Belize
WWGI/BLZ_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Belize
WWGI/BLZ_RQ_STD_ERR,Regulatory Quality; Standard Error - Belize
WWGI/BLZ_RL_EST,Rule of Law; Estimate - Belize
WWGI/BLZ_RL_NO_SRC,Rule of Law; Number of Sources - Belize
WWGI/BLZ_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Belize
WWGI/BLZ_RL_PER_RNK,Rule of Law; Percentile Rank - Belize
WWGI/BLZ_VA_EST,Voice and Accountability; Estimate - Belize
WWGI/BLZ_RL_STD_ERR,Rule of Law; Standard Error - Belize
WWGI/BLZ_VA_NO_SRC,Voice and Accountability; Number of Sources - Belize
WWGI/BLZ_VA_PER_RNK,Voice and Accountability; Percentile Rank - Belize
WWGI/BLZ_VA_STD_ERR,Voice and Accountability; Standard Error - Belize
WWGI/BMU_CC_NO_SRC,Control of Corruption; Number of Sources - Bermuda
WWGI/BMU_CC_PER_RNK,Control of Corruption; Percentile Rank - Bermuda
WWGI/BMU_CC_EST,Control of Corruption; Estimate - Bermuda
WWGI/BMU_CC_STD_ERR,Control of Corruption; Standard Error - Bermuda
WWGI/BMU_GE_EST,Government Effectiveness; Estimate - Bermuda
WWGI/BMU_GE_PER_RNK,Government Effectiveness; Percentile Rank - Bermuda
WWGI/BMU_GE_NO_SRC,Government Effectiveness; Number of Sources - Bermuda
WWGI/BMU_GE_STD_ERR,Government Effectiveness; Standard Error - Bermuda
WWGI/BMU_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Bermuda
WWGI/BMU_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Bermuda
WWGI/BMU_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Bermuda
WWGI/BMU_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Bermuda
WWGI/BMU_RQ_EST,Regulatory Quality; Estimate - Bermuda
WWGI/BMU_RQ_NO_SRC,Regulatory Quality; Number of Sources - Bermuda
WWGI/BMU_RQ_STD_ERR,Regulatory Quality; Standard Error - Bermuda
WWGI/BMU_RL_EST,Rule of Law; Estimate - Bermuda
WWGI/BMU_RL_NO_SRC,Rule of Law; Number of Sources - Bermuda
WWGI/BMU_RL_STD_ERR,Rule of Law; Standard Error - Bermuda
WWGI/BMU_RL_PER_RNK,Rule of Law; Percentile Rank - Bermuda
WWGI/BMU_VA_EST,Voice and Accountability; Estimate - Bermuda
WWGI/BMU_VA_NO_SRC,Voice and Accountability; Number of Sources - Bermuda
WWGI/BMU_VA_STD_ERR,Voice and Accountability; Standard Error - Bermuda
WWGI/BOL_CC_EST,Control of Corruption; Estimate - Bolivia
WWGI/BMU_VA_PER_RNK,Voice and Accountability; Percentile Rank - Bermuda
WWGI/BOL_CC_NO_SRC,Control of Corruption; Number of Sources - Bolivia
WWGI/BOL_CC_PER_RNK,Control of Corruption; Percentile Rank - Bolivia
WWGI/BOL_CC_STD_ERR,Control of Corruption; Standard Error - Bolivia
WWGI/BOL_GE_NO_SRC,Government Effectiveness; Number of Sources - Bolivia
WWGI/BOL_GE_PER_RNK,Government Effectiveness; Percentile Rank - Bolivia
WWGI/BMU_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Bermuda
WWGI/BOL_GE_STD_ERR,Government Effectiveness; Standard Error - Bolivia
WWGI/BOL_GE_EST,Government Effectiveness; Estimate - Bolivia
WWGI/BOL_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Bolivia
WWGI/BOL_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Bolivia
WWGI/BOL_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Bolivia
WWGI/BOL_RL_EST,Rule of Law; Estimate - Bolivia
WWGI/BOL_RQ_NO_SRC,Regulatory Quality; Number of Sources - Bolivia
WWGI/BOL_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Bolivia
WWGI/BOL_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Bolivia
WWGI/BOL_RQ_EST,Regulatory Quality; Estimate - Bolivia
